Specimen	Spanish/US	Drop Height	EIS 1+	EIS 2+	EIS 3
1	ESP	26	0	0	0
3	ESP	30	0	0	0
4	ESP	30	0	0	0
2	ESP	36	1	0	0
5	US	36	0	0	0
6	ESP	36	0	0	0
7	ESP	41	0	0	0
8	ESP	41	1	1	0
9	ESP	51	0	0	0
10	ESP	51	1	1	0
11	ESP	60	1	0	0
12	ESP	70	0	0	0
13	ESP	71	0	0	0
14	ESP	81	1	1	1
15	ESP	81	0	0	0
16	ESP	91	1	1	0
17	ESP	101	1	1	1
18	ESP	101	1	0	0
19	ESP	101	1	1	1
20	ESP	101	1	1	1
21	ESP	101	1	1	0
22	US	101	1	1	0
23	ESP	120	1	1	0
24	ESP	120	1	1	1
25	ESP	120	1	1	1
26	ESP	120	1	0	0
27	US	120	1	0	0
